means,NY,NYC
<10,9.6,4
10-15,10.4,5.3
15-19,11.7,7.3
20-24,12.2,9.4
25-29,5.4,4.2
30-34,14,16.9
35-44,8.1,10.6
45-59,10.9,16.2
60+,17.6,26.1
